dummy,n_species,min_species,species_order,training_data,testing_data,training_start,val_split,reconstruction_loss,depth,n_latent,beta,monitor,mode,learning_rate,batch_size,epochs,stride,n_bootstrap,n_tile,n_colors,fully_connected,testing,chunk_size,train_size,val_size,checkpoint_path,pix_err,patch_err
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-04-27_21-04-37/vae.ckpt,0.0055457949638366,0.0647887323943662
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-02_17-18-19/vae.ckpt,0.0114216804504394,0.1342723004694835
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-02_16-55-06/vae.ckpt,0.0059785842895507,0.0676056338028169
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-02_17-29-42/vae.ckpt,0.0062133073806762,0.0779342723004694
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-02_15-54-46/vae.ckpt,0.0006822347640991,0.0093896713615023
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-04-27_20-55-12/vae.ckpt,0.0042546987533569,0.0553990610328638
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-04-27_21-26-43/vae.ckpt,0.0099985599517822,0.1183098591549295
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-03_09-15-16/vae.ckpt,0.0079151988029479,0.1014084507042253
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-04-27_21-48-47/vae.ckpt,0.0062500238418579,0.0638497652582159
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-02_16-49-49/vae.ckpt,0.0038805603981018,0.0450704225352112
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-03_09-22-39/vae.ckpt,0.0067194700241088,0.0751173708920187
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-04-27_21-40-10/vae.ckpt,0.0049735903739929,0.0619718309859154
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-04-27_21-58-24/vae.ckpt,0.0055457949638366,0.0676056338028169
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-02_16-00-10/vae.ckpt,0.0061032772064208,0.0582159624413145
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-02_16-17-38/vae.ckpt,0.0098078250885009,0.1014084507042253
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-04-27_21-36-01/vae.ckpt,0.0047461986541748,0.0572769953051643
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-04-27_20-45-32/vae.ckpt,0.0122652649879455,0.1286384976525821
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-02_16-27-39/vae.ckpt,0.0079665780067443,0.092018779342723
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-02_16-05-18/vae.ckpt,0.0093089938163757,0.1107981220657277
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-04-27_20-35-33/vae.ckpt,0.0040786266326904,0.0516431924882629
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-02_16-44-21/vae.ckpt,0.0069615840911865,0.0798122065727699
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-02_16-22-14/vae.ckpt,0.0048782229423522,0.0610328638497652
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-04-27_21-08-39/vae.ckpt,0.0073870420455932,0.0854460093896713
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-04-27_20-59-13/vae.ckpt,0.0051643252372741,0.0676056338028169
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-04-27_21-22-46/vae.ckpt,0.0052890181541442,0.0629107981220657
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-04-27_21-53-49/vae.ckpt,0.0043280720710754,0.0535211267605633
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-02_16-33-12/vae.ckpt,0.0059859156608581,0.0732394366197183
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-02_17-22-07/vae.ckpt,0.0040566325187683,0.056338028169014
dummy,16,2,abundance,union_patches,union_patches,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,249,249,/Users/johannes/work/resecarin/models/bce/val_loss/union_patches/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-03_12-40-24/vae.ckpt,0.0333521366119384,0.3092369477911647
dummy,16,2,abundance,union_patches,union_patches,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,249,249,/Users/johannes/work/resecarin/models/bce/val_loss/union_patches/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-04-28_09-51-41/vae.ckpt,0.0578877925872802,0.4698795180722891
dummy,16,2,abundance,union_patches,union_patches,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,249,249,/Users/johannes/work/resecarin/models/bce/val_loss/union_patches/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-03_12-16-50/vae.ckpt,0.0267633199691772,0.2730923694779116
dummy,16,2,abundance,union_patches,union_patches,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,249,249,/Users/johannes/work/resecarin/models/bce/val_loss/union_patches/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-03_12-52-33/vae.ckpt,0.0304656028747558,0.2489959839357429
