Helichrysum stoechas,Piptatherum miliaceum,Hyparrhenia sinaica,Reichardia tingitana,Linum strictum,Plantago crassifolia,Fagonia cretica,Leontodon longirostris,Dittrichia viscosa,Sonchus tenerrimus,Phagnalon saxatile,Paronychia suffruticosa,Limonium carthaginense,Atriplex halimus,Lygeum spartum,Pinus halepensis
True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False
True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False
True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
True,False,True,False,True,False,True,True,False,True,False,False,False,False,False,False
False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False
False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False
True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False
False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False
False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False
True,False,True,False,True,False,True,True,False,True,True,False,False,False,False,False
True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False
False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False
False,True,True,True,True,False,True,False,False,True,True,False,False,False,False,False
False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False
False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
