"","Jasonia_glutinosa","Helichrysum_stoechas","Bombycilaena_erecta","Phagnalon_saxatile","Phagnalon_rupestre","Artemisia_campestris","Santolina_chamaecyparissus","Launaea_fragilis","Scorzonera_sp","Atractylis_cancellata","Thapsia_sp","Bupleurum_fruticescens","Eryngium_campestre","Lomelosia_stellata","Thymus_moroderi","Thymus_vulgaris","Rosmarinus_officinalis","Lavandula_latifolia","Teucrium_libanitis","Teucrium_carolipaui","Teucrium_capitatum","Teucrium_pseudochamaepitys","Phlomis_lychnitis","Sideritis_incana","Sideritis_angustifolia","Orobanche_sp","Ruelia_hirsutoglandulosa","Ruellia_lutea","Justicia_mexicana","Lippia_graveolens","Lantana_achyranthifolia","Plantago_albicans","Globularia_alypum","Olea_europaea","Lithodora_fruticosa","Asperula_aristata","Rubia_peregrina","Ipomoea_sp","Convolvulus_lanuginosus","Erica_multiflora","Coris_monspeliensis","Neobuxbaumia_mezcalaensis","Opuntia_decumbens","Dianthus_sp","Gypsophila_struthium","Paronychia_suffruticosa","Paronychia_argentea","Herniaria_fruticosa","Salsola_genistoides","Limonium_sp","Thesium_humifusum","Ononis_tridentata","Astragalus_sp","Onobrychis_sp","Dorycnium_pentaphyllum","Anthyllis_cytisoides","Anthyllis_terniflora","Coronilla_minima","Ulex_parviflorus","Aeschynomene_compacta","Calliandra_eriophylla","Polygala_rupestris","Rhamnus_lycioides","Rhamnus_alaternus","Quercus_coccifera","Echinopterys_eglandulosa","Cnidosculus_tehuacanensis","Diplotaxis_harra","Moricandia_arvensis","Matthiola_fruticulosa","Reseda_stricta","Reseda_phyteuma","Hibiscus_elegans","Fumana_thymifolia","Fumana_laevipes","Fumana_ericoides","Fumana_hispidula","Cistus_albidus","Cistus_clusii","Helianthemum_violaceum","Helianthemum_syriacum","Helianthemum_squamatum","Helianthemum_cinereum","Thymelaea_hirsuta","Thymelaea_tinctoria","Ruta_angustifolia","Haplophyllum_rosmarinifolium","Pistacia_lentiscus","Sedum_sediforme","Asparagus_horridus","Yucca_periculosa","Dipcadi_serotinum","Lapiedra_martinezii","Asphodelus_fistulosus","Bouteloua_gracilis","Brachypodium_retusum","Brachypodium_phoenicoides","Stipa_offneri","Stipa_parviflora","Stipa_tenacissima","Lygeum_spartum","Carex_humilis","Hechtia_podantha","Juniperus_phoenicea","Juniperus_oxycedrus","Pinus_halepensis","Ephedra_fragilis"
"Justicia_mexicana",213.48282,213.482821,213.482821,213.482821,213.482821,213.482821,213.48282,213.48282,213.48282,213.482821,213.48282,213.482821,213.482821,213.48282,94.5428740000002,94.5428750000001,94.5428750000001,94.5428740000003,94.5428740000002,94.5428740000002,94.5428750000001,94.5428750000001,94.5428740000002,94.5428740000001,94.5428750000001,94.5428740000002,69.4757180000003,64.8399700000002,0,94.3280260000002,94.3280270000001,105.865523,105.865523,142.041217,176.495553,179.502135,179.502135,179.502134,179.502135,224.681457,224.681457,239.748467,239.748467,239.748466,239.748466,239.748466,239.748466,239.748466,239.748467,239.748466,242.769328,247.468472,247.468472,247.468472,247.468473,247.468472,247.468473,247.468473,247.468472,247.468472,247.468473,247.468472,247.468473,247.468473,247.468473,247.468473,247.468472,247.4684730003,247.468473,247.4684730003,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468473,247.468472,247.468472,247.468472,247.468472,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,271.516129,271.516128,271.516129,271.516129,271.516128,271.516128,271.516129,271.516129,271.516128,271.516129,271.516129,271.516129,271.516128,271.516128,650.100055,650.100055,650.100055,650.100055
"Lippia_graveolens",213.48282,213.482821,213.482821,213.482821,213.482821,213.482821,213.48282,213.48282,213.48282,213.482821,213.48282,213.482821,213.482821,213.48282,94.5428740000002,94.5428750000001,94.5428750000001,94.5428740000003,94.5428740000002,94.5428740000002,94.5428750000001,94.5428750000001,94.5428740000002,94.5428740000001,94.5428750000001,94.5428740000002,94.3280260000002,94.3280260000002,94.3280260000002,0,8.78803900000013,105.865523,105.865523,142.041217,176.495553,179.502135,179.502135,179.502134,179.502135,224.681457,224.681457,239.748467,239.748467,239.748466,239.748466,239.748466,239.748466,239.748466,239.748467,239.748466,242.769328,247.468472,247.468472,247.468472,247.468473,247.468472,247.468473,247.468473,247.468472,247.468472,247.468473,247.468472,247.468473,247.468473,247.468473,247.468473,247.468472,247.4684730003,247.468473,247.4684730003,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468473,247.468472,247.468472,247.468472,247.468472,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,271.516129,271.516128,271.516129,271.516129,271.516128,271.516128,271.516129,271.516129,271.516128,271.516129,271.516129,271.516129,271.516128,271.516128,650.100055,650.100055,650.100055,650.100055
"Lantana_achyranthifolia",213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482821,213.482822,213.482822,213.482821,94.542875,94.542876,94.542876,94.5428750000002,94.542875,94.542875,94.542876,94.542876,94.5428750000001,94.542875,94.542876,94.5428750000001,94.3280270000001,94.3280270000001,94.3280270000001,8.78803900000013,0,105.865524,105.865524,142.041218,176.495554,179.502136,179.502136,179.502135,179.502136,224.681458,224.681458,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748467,239.748468,239.748467,242.769329,247.468473,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468474,247.468474,247.468473,247.4684740003,247.468474,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.516129,271.51613,271.51613,271.516129,271.516129,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.516129,271.516129,650.100056,650.100056,650.100056,650.100056
"Plantago_albicans",213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482821,213.482822,213.482822,213.482821,105.865523,105.865524,105.865524,105.865523,105.865523,105.865523,105.865524,105.865524,105.865523,105.865523,105.865524,105.865523,105.865523,105.865523,105.865523,105.865523,105.865524,0,75.553106,142.041218,176.495554,179.502136,179.502136,179.502135,179.502136,224.681458,224.681458,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748467,239.748468,239.748467,242.769329,247.468473,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468474,247.468474,247.468473,247.4684740003,247.468474,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.516129,271.51613,271.51613,271.516129,271.516129,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.516129,271.516129,650.100056,650.100056,650.100056,650.100056
"Globularia_alypum",213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482821,213.482822,213.482822,213.482821,105.865523,105.865524,105.865524,105.865523,105.865523,105.865523,105.865524,105.865524,105.865523,105.865523,105.865524,105.865523,105.865523,105.865523,105.865523,105.865523,105.865524,75.553106,0,142.041218,176.495554,179.502136,179.502136,179.502135,179.502136,224.681458,224.681458,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748467,239.748468,239.748467,242.769329,247.468473,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468474,247.468474,247.468473,247.4684740003,247.468474,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.516129,271.51613,271.51613,271.516129,271.516129,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.516129,271.516129,650.100056,650.100056,650.100056,650.100056
"Olea_europaea",213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482821,213.482822,213.482822,213.482821,142.041217,142.041218,142.041218,142.041217,142.041217,142.041217,142.041218,142.041218,142.041217,142.041217,142.041218,142.041217,142.041217,142.041217,142.041217,142.041217,142.041218,142.041218,142.041218,0,176.495554,179.502136,179.502136,179.502135,179.502136,224.681458,224.681458,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748467,239.748468,239.748467,242.769329,247.468473,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468474,247.468474,247.468473,247.4684740003,247.468474,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.516129,271.51613,271.51613,271.516129,271.516129,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.516129,271.516129,650.100056,650.100056,650.100056,650.100056
"Lithodora_fruticosa",213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482821,213.482822,213.482822,213.482821,176.495553,176.495554,176.495554,176.495553,176.495553,176.495553,176.495554,176.495554,176.495553,176.495553,176.495554,176.495553,176.495553,176.495553,176.495553,176.495553,176.495554,176.495554,176.495554,176.495554,0,179.502136,179.502136,179.502135,179.502136,224.681458,224.681458,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748467,239.748468,239.748467,242.769329,247.468473,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468474,247.468474,247.468473,247.4684740003,247.468474,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.516129,271.51613,271.51613,271.516129,271.516129,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.516129,271.516129,650.100056,650.100056,650.100056,650.100056
"Asperula_aristata",213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482821,213.482822,213.482822,213.482821,179.502135,179.502136,179.502136,179.502135,179.502135,179.502135,179.502136,179.502136,179.502135,179.502135,179.502136,179.502135,179.502135,179.502135,179.502135,179.502135,179.502136,179.502136,179.502136,179.502136,179.502136,0,16.378018,171.826273,171.826274,224.681458,224.681458,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748467,239.748468,239.748467,242.769329,247.468473,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468474,247.468474,247.468473,247.4684740003,247.468474,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.516129,271.51613,271.51613,271.516129,271.516129,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.516129,271.516129,650.100056,650.100056,650.100056,650.100056
"Rubia_peregrina",213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482821,213.482822,213.482822,213.482821,179.502135,179.502136,179.502136,179.502135,179.502135,179.502135,179.502136,179.502136,179.502135,179.502135,179.502136,179.502135,179.502135,179.502135,179.502135,179.502135,179.502136,179.502136,179.502136,179.502136,179.502136,16.378018,0,171.826273,171.826274,224.681458,224.681458,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748467,239.748468,239.748467,242.769329,247.468473,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468474,247.468474,247.468473,247.4684740003,247.468474,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.516129,271.51613,271.51613,271.516129,271.516129,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.516129,271.516129,650.100056,650.100056,650.100056,650.100056
"Ipomoea_sp",213.48282,213.482821,213.482821,213.482821,213.482821,213.482821,213.48282,213.48282,213.48282,213.482821,213.48282,213.482821,213.482821,213.48282,179.502134,179.502135,179.502135,179.502134,179.502134,179.502134,179.502135,179.502135,179.502134,179.502134,179.502135,179.502134,179.502134,179.502134,179.502134,179.502134,179.502135,179.502135,179.502135,179.502135,179.502135,171.826273,171.826273,0,32.503311,224.681457,224.681457,239.748467,239.748467,239.748466,239.748466,239.748466,239.748466,239.748466,239.748467,239.748466,242.769328,247.468472,247.468472,247.468472,247.468473,247.468472,247.468473,247.468473,247.468472,247.468472,247.468473,247.468472,247.468473,247.468473,247.468473,247.468473,247.468472,247.4684730003,247.468473,247.4684730003,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468473,247.468472,247.468472,247.468472,247.468472,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,271.516129,271.516128,271.516129,271.516129,271.516128,271.516128,271.516129,271.516129,271.516128,271.516129,271.516129,271.516129,271.516128,271.516128,650.100055,650.100055,650.100055,650.100055
